REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBFHPFH1",2015,1.55065042
"REGION1","SEBFHPFH1",2016,1.540062556
"REGION1","SEBFHPFH1",2017,1.529474692
"REGION1","SEBFHPFH1",2018,1.518886828
"REGION1","SEBFHPFH1",2019,1.508290832
"REGION1","SEBFHPFH1",2020,1.497702968
"REGION1","SEBFHPFH1",2021,1.493165312
"REGION1","SEBFHPFH1",2022,1.488627656
"REGION1","SEBFHPFH1",2023,0.17447
"REGION1","SEBFHPFH1",2024,0.06004086
"REGION1","SEBFHPFH1",2025,0.045346
"REGION1","SEBFHPFH1",2026,0.04520625
"REGION1","SEBMCCPH1",2015,5.72043936
"REGION1","SEBMCCPH1",2016,5.50448896
"REGION1","SEBMCCPH1",2017,5.28858304
"REGION1","SEBMCCPH1",2018,5.07263264
"REGION1","SEBMCCPH1",2019,4.85668224
"REGION1","SEBMCCPH1",2020,4.64077632
"REGION1","SEBMCCPH1",2021,4.55915552
"REGION1","SEBMCCPH1",2022,4.47753472
"REGION1","SEBMCCPH1",2023,4.395931712
"REGION1","SEBMCCPH1",2024,4.314324256
"REGION1","SEBMCCPH1",2025,4.232712352
"REGION1","SEBMCHPH3",2015,0.2481984
"REGION1","SEBMCHPH3",2016,0.243243328
"REGION1","SEBMCHPH3",2017,0.238288256
"REGION1","SEBMCHPH3",2018,0.233333184
"REGION1","SEBMCHPH3",2019,0.228378112
"REGION1","SEBMCHPH3",2020,0.223425264
"REGION1","SEBMCHPH3",2021,0.22283368
"REGION1","SEBMCHPH3",2022,0.2222416512
"REGION1","SEBMCHPH3",2023,0.2216500672
"REGION1","SEBMCHPH3",2024,0.2210587056
"REGION1","SEBMCHPH3",2025,0.220467344
"REGION1","SEBMCHPH3",2026,0.2198759824
"REGION1","SEBMCHPH3",2027,0.2192843984
"REGION1","SEBMCHPH3",2028,0.2186930368
"REGION1","SEBMCHPH3",2029,0.2181016752
"REGION1","SEBMCHPH3",2030,0.1087551568
"REGION1","SEBMSTPH3",2015,226.217863516
"REGION1","SEBMSTPH3",2016,224.582563544
"REGION1","SEBMSTPH3",2017,222.947263572
"REGION1","SEBMSTPH3",2018,221.3119636
"REGION1","SEBMSTPH3",2019,219.676663628
"REGION1","SEBMSTPH3",2020,218.041070644
"REGION1","SEBMSTPH3",2021,217.314400884
"REGION1","SEBMSTPH3",2022,216.587731124
"REGION1","SEBMSTPH3",2023,215.860768352
"REGION1","SEBMSTPH3",2024,215.134098592
"REGION1","SEBMSTPH3",2025,214.40713582
"REGION1","SEBMSTPH3",2026,213.68046606
"REGION1","SEBMSTPH3",2027,212.953503288
"REGION1","SEBMSTPH3",2028,212.226833528
"REGION1","SEBMSTPH3",2029,211.499870756
"REGION1","SEBMSTPH3",2030,24.001138526711
"REGION1","SEBMSTPH3",2031,19.1355213725002
"REGION1","SEBMSTPH3",2032,19.0693206881138
"REGION1","SEBMSTPH3",2033,19.0031200037273
"REGION1","SEBMSTPH3",2034,18.9368926255165
"REGION1","SEBMSTPH3",2035,103.048434582869
"REGION1","SEBMSTPH3",2036,102.739259104993
"REGION1","SEBMSTPH3",2037,102.430958239501
"REGION1","SEBMSTPH3",2038,102.123677755125
"REGION1","SEBMSTPH3",2039,101.817417651864
"REGION1","SEBMSTPH3",2040,145.109424927357
"REGION1","SEBMSTPH3",2041,281.896918907947
"REGION1","SEBMSTPH3",2042,278.741949519726
"REGION1","SEBMSTPH3",2043,296.406598973663
"REGION1","SEBMSTPH3",2044,295.51756084975
"REGION1","SEBMSTPH3",2045,314.180516887402
"REGION1","SEBMSTPH3",2046,313.237984954413
"REGION1","SEBMSTPH3",2047,312.298200927933
"REGION1","SEBMSTPH3",2048,311.361164807964
"REGION1","SEBMSTPH3",2049,310.427334578924
"REGION1","SEBMSTPH3",2050,309.495794271975
"REGION1","SEBMSTPH3",2051,308.567459855955
"REGION1","SEBMSTPH3",2052,307.641873346445
"REGION1","SEBMSTPH3",2053,306.718576759027
"REGION1","SEBMSTPH3",2054,305.798486062537
"REGION1","SEBMSTPH3",2055,304.881143272557
"REGION1","SEBMSTPH3",2056,303.966548389088
"REGION1","SEBMSTPH3",2057,303.054701412129
"REGION1","SEBMSTPH3",2058,302.14560234168
